0000004561	0000020761	00003796
0000004561	0000018781	00003796
0000001398	0000026902	00003664
0000001398	0000026242	00003664
0000001398	0000021796	00003664
0000001398	0000023521	00003664
0000001398	0000020346	00003664
0000001398	0000019822	00003664
0000001398	0000019574	00003664
0000001398	0000019401	00003664
0000001398	0000019621	00003664
0000001398	0000018521	00003664
0000001398	0000017805	00003664
0000001398	0000017320	00003664
0000001398	0000026901	00003664
0000001398	0000017321	00003664
0000001398	0000017319	00003664
0000001398	0000017322	00003664
0000000579	0000014724	00003129
0000000579	0000011441	00003129
0000000579	0000024902	00003129
0000000579	0000023690	00003129
0000000579	0000022022	00003129
0000000579	0000021023	00003129
0000000579	0000019575	00003129
0000000579	0000016546	00003129
0000000579	0000011445	00003129
0000000579	0000024903	00003129
0000000579	0000011442	00003129
0000000579	0000011443	00003129
0000000579	0000023693	00003129
0000000579	0000023692	00003129
0000000579	0000011444	00003129
0000000579	0000011446	00003129
0000000579	0000021022	00003129
0000000579	0000021021	00003129
0000000579	0000016880	00003129
0000000579	0000017282	00003129
0000000225	0000030301	00003560
0000000225	0000017442	00003560
0000000225	0000017423	00003560
0000000225	0000017424	00003560
0000000225	0000017283	00003560
0000000225	0000016542	00003560
0000000225	0000017443	00003560
0000000225	0000017421	00003560
0000000225	0000017422	00003560
0000000225	0000017284	00003560
0000000225	0000017285	00003560
0000000225	0000017441	00003560
0000000225	0000016543	00003560
0000000225	0000016541	00003560
0000004007	0000017977	00003619
0000004007	0000016981	00003619
0000004007	0000016975	00003619
0000004007	0000016979	00003619
0000004007	0000016984	00003619
0000004007	0000016980	00003619
0000004007	0000016978	00003619
0000004007	0000016974	00003619
0000004007	0000016977	00003619
0000004007	0000016976	00003619
0000004007	0000016985	00003619
0000004007	0000016982	00003619
0000004007	0000016983	00003619
0000000282	0000015428	00003482
0000000282	0000015426	00003482
0000000282	0000015427	00003482
0000000282	0000015421	00003482
0000000282	0000015425	00003482
0000000282	0000015423	00003482
0000000282	0000015424	00003482
0000002786	0000016524	00003554
0000002786	0000022781	00003554
0000002786	0000019365	00003554
0000002786	0000017866	00003554
0000002786	0000017865	00003554
0000002786	0000016525	00003554
0000002786	0000016523	00003554
0000002786	0000016522	00003554
0000008443	0000028302	00005236
0000008443	0000026338	00005236
